Addr: 0006cbfc, Data 0020
Addr: 0006cbfd, Data 0027
Addr: 0006cbfe, Data fffe
Addr: 0006cbff, Data 0000
Addr: 0006cc00, Data 001f
Addr: 0006cc01, Data 002d
Addr: 0006cc02, Data 0014
Addr: 0006cc03, Data 0010
Addr: 0006cc04, Data 0000
Addr: 0006cc05, Data 0000
Addr: 0006cc06, Data 0000
Addr: 0006cc07, Data 0000
Addr: 0006cc08, Data 000e
Addr: 0006cc09, Data 000e
Addr: 0006cc0a, Data 000e
Addr: 0006cc0b, Data 000e
Addr: 0006cc0c, Data 000f
Addr: 0006cc0d, Data 0013
Addr: 0006cc0e, Data 003a
Addr: 0006cc0f, Data 0047
Addr: 0006cc10, Data 0014
Addr: 0006cc11, Data 000e
Addr: 0006cc12, Data 000e
Addr: 0006cc13, Data 000e
Addr: 0006cc14, Data 0000
Addr: 0006cc15, Data 0000
Addr: 0006cc16, Data 0000
Addr: 0006cc17, Data 0000
Addr: 0006cc18, Data 000e
Addr: 0006cc19, Data 000e
Addr: 0006cc1a, Data 000e
Addr: 0006cc1b, Data 000e
Addr: 0006cc1c, Data 002e
Addr: 0006cc1d, Data 0071
Addr: 0006cc1e, Data 0077
Addr: 0006cc1f, Data 005c
Addr: 0006cc20, Data 000e
Addr: 0006cc21, Data ffff
Addr: 0006cc22, Data 000d
Addr: 0006cc23, Data 000e
Addr: 0006cc24, Data 0000
Addr: 0006cc25, Data 0000
Addr: 0006cc26, Data 0000
Addr: 0006cc27, Data 0000
Addr: 0006cc28, Data 000e
Addr: 0006cc29, Data 000e
Addr: 0006cc2a, Data 000e
Addr: 0006cc2b, Data 000e
Addr: 0006cc2c, Data 0090
Addr: 0006cc2d, Data 00b5
Addr: 0006cc2e, Data 004a
Addr: 0006cc2f, Data ffda
Addr: 0006cc30, Data ffd7
Addr: 0006cc31, Data ffc7
Addr: 0006cc32, Data fffe
Addr: 0006cc33, Data 000e
Addr: 0006cc34, Data 0000
Addr: 0006cc35, Data 0000
Addr: 0006cc36, Data 0000
Addr: 0006cc37, Data 0000
Addr: 0006cc38, Data 000e
Addr: 0006cc39, Data 000e
Addr: 0006cc3a, Data 000e
Addr: 0006cc3b, Data 000e
Addr: 0006cc3c, Data 00b3
Addr: 0006cc3d, Data 008b
Addr: 0006cc3e, Data ff89
Addr: 0006cc3f, Data ff99
Addr: 0006cc40, Data 0053
Addr: 0006cc41, Data ffd8
Addr: 0006cc42, Data ffed
Addr: 0006cc43, Data 000e
Addr: 0006cc44, Data 0000
Addr: 0006cc45, Data 0000
Addr: 0006cc46, Data 0000
Addr: 0006cc47, Data 0000
Addr: 0006cc48, Data 000e
Addr: 0006cc49, Data 000e
Addr: 0006cc4a, Data 000e
Addr: 0006cc4b, Data 0017
Addr: 0006cc4c, Data 00aa
Addr: 0006cc4d, Data 0046
Addr: 0006cc4e, Data ff34
Addr: 0006cc4f, Data ffdc
Addr: 0006cc50, Data 0089
Addr: 0006cc51, Data 006e
Addr: 0006cc52, Data ffbb
Addr: 0006cc53, Data 000e
Addr: 0006cc54, Data 0000
Addr: 0006cc55, Data 0000
Addr: 0006cc56, Data 0000
Addr: 0006cc57, Data 0000
Addr: 0006cc58, Data 000e
Addr: 0006cc59, Data 000e
Addr: 0006cc5a, Data 000e
Addr: 0006cc5b, Data 004e
Addr: 0006cc5c, Data 00b5
Addr: 0006cc5d, Data 002d
Addr: 0006cc5e, Data ff7b
Addr: 0006cc5f, Data 0008
Addr: 0006cc60, Data 0092
Addr: 0006cc61, Data 0083
Addr: 0006cc62, Data ff85
Addr: 0006cc63, Data 000e
Addr: 0006cc64, Data 0000
Addr: 0006cc65, Data 0000
Addr: 0006cc66, Data 0000
Addr: 0006cc67, Data 0000
Addr: 0006cc68, Data 000e
Addr: 0006cc69, Data 000e
Addr: 0006cc6a, Data 000e
Addr: 0006cc6b, Data 0090
Addr: 0006cc6c, Data 00b4
Addr: 0006cc6d, Data ffcd
Addr: 0006cc6e, Data ff87
Addr: 0006cc6f, Data 000e
Addr: 0006cc70, Data 009c
Addr: 0006cc71, Data 0084
Addr: 0006cc72, Data ff7f
Addr: 0006cc73, Data 000e
Addr: 0006cc74, Data 0000
Addr: 0006cc75, Data 0000
Addr: 0006cc76, Data 0000
Addr: 0006cc77, Data 0000
Addr: 0006cc78, Data 000e
Addr: 0006cc79, Data 000e
Addr: 0006cc7a, Data 000e
Addr: 0006cc7b, Data 0097
Addr: 0006cc7c, Data 00a8
Addr: 0006cc7d, Data ff3c
Addr: 0006cc7e, Data ffd1
Addr: 0006cc7f, Data 000f
Addr: 0006cc80, Data 00a8
Addr: 0006cc81, Data 0052
Addr: 0006cc82, Data ff7d
Addr: 0006cc83, Data 000e
Addr: 0006cc84, Data 0000
Addr: 0006cc85, Data 0000
Addr: 0006cc86, Data 0000
Addr: 0006cc87, Data 0000
Addr: 0006cc88, Data 000e
Addr: 0006cc89, Data 000e
Addr: 0006cc8a, Data 000e
Addr: 0006cc8b, Data 0091
Addr: 0006cc8c, Data 00a2
Addr: 0006cc8d, Data ff4a
Addr: 0006cc8e, Data fff8
Addr: 0006cc8f, Data 0066
Addr: 0006cc90, Data 009c
Addr: 0006cc91, Data ffd3
Addr: 0006cc92, Data ffba
Addr: 0006cc93, Data 000e
Addr: 0006cc94, Data 0000
Addr: 0006cc95, Data 0000
Addr: 0006cc96, Data 0000
Addr: 0006cc97, Data 0000
Addr: 0006cc98, Data 000e
Addr: 0006cc99, Data 000e
Addr: 0006cc9a, Data 000e
Addr: 0006cc9b, Data 0064
Addr: 0006cc9c, Data 0081
Addr: 0006cc9d, Data ffa1
Addr: 0006cc9e, Data 0047
Addr: 0006cc9f, Data 0084
Addr: 0006cca0, Data 0063
Addr: 0006cca1, Data ff71
Addr: 0006cca2, Data fff2
Addr: 0006cca3, Data 000e
Addr: 0006cca4, Data 0000
Addr: 0006cca5, Data 0000
Addr: 0006cca6, Data 0000
Addr: 0006cca7, Data 0000
Addr: 0006cca8, Data 000e
Addr: 0006cca9, Data 000e
Addr: 0006ccaa, Data 000e
Addr: 0006ccab, Data 0011
Addr: 0006ccac, Data 0043
Addr: 0006ccad, Data 0009
Addr: 0006ccae, Data 0017
Addr: 0006ccaf, Data 000f
Addr: 0006ccb0, Data ff60
Addr: 0006ccb1, Data ffd4
Addr: 0006ccb2, Data 000c
Addr: 0006ccb3, Data 000e
Addr: 0006ccb4, Data 0000
Addr: 0006ccb5, Data 0000
Addr: 0006ccb6, Data 0000
Addr: 0006ccb7, Data 0000
Addr: 0006ccb8, Data 000e
Addr: 0006ccb9, Data 000e
Addr: 0006ccba, Data 000e
Addr: 0006ccbb, Data 000e
Addr: 0006ccbc, Data 000e
Addr: 0006ccbd, Data 000a
Addr: 0006ccbe, Data ff90
Addr: 0006ccbf, Data ff9a
Addr: 0006ccc0, Data ffdb
Addr: 0006ccc1, Data 000c
Addr: 0006ccc2, Data 000e
Addr: 0006ccc3, Data 000e
Addr: 0006ccc4, Data 0000
Addr: 0006ccc5, Data 0000
Addr: 0006ccc6, Data 0000
Addr: 0006ccc7, Data 0000
Addr: 0006ccc8, Data ffdf
Addr: 0006ccc9, Data ffdf
Addr: 0006ccca, Data ffdf
Addr: 0006cccb, Data ffdf
Addr: 0006cccc, Data ffdf
Addr: 0006cccd, Data ffe3
Addr: 0006ccce, Data ffed
Addr: 0006cccf, Data 0032
Addr: 0006ccd0, Data 0051
Addr: 0006ccd1, Data 0019
Addr: 0006ccd2, Data ffe0
Addr: 0006ccd3, Data ffdf
Addr: 0006ccd4, Data 0000
Addr: 0006ccd5, Data 0000
Addr: 0006ccd6, Data 0000
Addr: 0006ccd7, Data 0000
Addr: 0006ccd8, Data ffdf
Addr: 0006ccd9, Data ffdf
Addr: 0006ccda, Data ffdf
Addr: 0006ccdb, Data ffdf
Addr: 0006ccdc, Data ffdf
Addr: 0006ccdd, Data fff9
Addr: 0006ccde, Data 000c
Addr: 0006ccdf, Data ffe7
Addr: 0006cce0, Data 0033
Addr: 0006cce1, Data 0043
Addr: 0006cce2, Data 001c
Addr: 0006cce3, Data ffdf
Addr: 0006cce4, Data 0000
Addr: 0006cce5, Data 0000
Addr: 0006cce6, Data 0000
Addr: 0006cce7, Data 0000
Addr: 0006cce8, Data ffdf
Addr: 0006cce9, Data ffdf
Addr: 0006ccea, Data ffdf
Addr: 0006cceb, Data ffdf
Addr: 0006ccec, Data ffde
Addr: 0006cced, Data ffb6
Addr: 0006ccee, Data ff7c
Addr: 0006ccef, Data ffe2
Addr: 0006ccf0, Data ff79
Addr: 0006ccf1, Data ffbc
Addr: 0006ccf2, Data 0002
Addr: 0006ccf3, Data ffea
Addr: 0006ccf4, Data 0000
Addr: 0006ccf5, Data 0000
Addr: 0006ccf6, Data 0000
Addr: 0006ccf7, Data 0000
Addr: 0006ccf8, Data ffdf
Addr: 0006ccf9, Data ffdf
Addr: 0006ccfa, Data ffdf
Addr: 0006ccfb, Data ffdf
Addr: 0006ccfc, Data ffc6
Addr: 0006ccfd, Data ff9a
Addr: 0006ccfe, Data ffd1
Addr: 0006ccff, Data 005a
Addr: 0006cd00, Data 0031
Addr: 0006cd01, Data ff86
Addr: 0006cd02, Data 0004
Addr: 0006cd03, Data fffd
Addr: 0006cd04, Data 0000
Addr: 0006cd05, Data 0000
Addr: 0006cd06, Data 0000
Addr: 0006cd07, Data 0000
Addr: 0006cd08, Data ffdf
Addr: 0006cd09, Data ffdf
Addr: 0006cd0a, Data ffdf
Addr: 0006cd0b, Data ffdf
Addr: 0006cd0c, Data ffd8
Addr: 0006cd0d, Data ffe8
Addr: 0006cd0e, Data ffec
Addr: 0006cd0f, Data ffc5
Addr: 0006cd10, Data 0015
Addr: 0006cd11, Data ffe2
Addr: 0006cd12, Data ffba
Addr: 0006cd13, Data ffdf
Addr: 0006cd14, Data 0000
Addr: 0006cd15, Data 0000
Addr: 0006cd16, Data 0000
Addr: 0006cd17, Data 0000
Addr: 0006cd18, Data ffdf
Addr: 0006cd19, Data ffdf
Addr: 0006cd1a, Data ffdf
Addr: 0006cd1b, Data ffdf
Addr: 0006cd1c, Data ffd5
Addr: 0006cd1d, Data ffdf
Addr: 0006cd1e, Data fffe
Addr: 0006cd1f, Data ffe2
Addr: 0006cd20, Data fffa
Addr: 0006cd21, Data fff0
Addr: 0006cd22, Data ffaf
Addr: 0006cd23, Data ffdf
Addr: 0006cd24, Data 0000
Addr: 0006cd25, Data 0000
Addr: 0006cd26, Data 0000
Addr: 0006cd27, Data 0000
Addr: 0006cd28, Data ffdf
Addr: 0006cd29, Data ffdf
