Addr: 0006db03, Data ffdc
Addr: 0006db04, Data ffde
Addr: 0006db05, Data 000e
Addr: 0006db06, Data ff71
Addr: 0006db07, Data ffb7
Addr: 0006db08, Data 0053
Addr: 0006db09, Data ff93
Addr: 0006db0a, Data ffdf
Addr: 0006db0b, Data 000c
Addr: 0006db0c, Data 007f
Addr: 0006db0d, Data ff1d
Addr: 0006db0e, Data 01d0
Addr: 0006db0f, Data ff90
Addr: 0006db10, Data 00ab
Addr: 0006db11, Data 00c0
Addr: 0006db12, Data 01cf
Addr: 0006db13, Data fef5
Addr: 0006db14, Data 0095
Addr: 0006db15, Data 0102
Addr: 0006db16, Data 014d
Addr: 0006db17, Data ffbb
Addr: 0006db18, Data ffb8
Addr: 0006db19, Data 0022
Addr: 0006db1a, Data 0070
Addr: 0006db1b, Data ff93
Addr: 0006db1c, Data 0021
Addr: 0006db1d, Data ffd8
Addr: 0006db1e, Data 002f
Addr: 0006db1f, Data ff6a
Addr: 0006db20, Data 001e
Addr: 0006db21, Data ff93
Addr: 0006db22, Data 00b0
Addr: 0006db23, Data ffd3
Addr: 0006db24, Data ffc3
Addr: 0006db25, Data ff87
Addr: 0006db26, Data 010c
Addr: 0006db27, Data ff18
Addr: 0006db28, Data ffaf
Addr: 0006db29, Data ff9e
Addr: 0006db2a, Data 0033
Addr: 0006db2b, Data ff7a
Addr: 0006db2c, Data ff9c
Addr: 0006db2d, Data ffb5
Addr: 0006db2e, Data fff8
Addr: 0006db2f, Data ffc9
Addr: 0006db30, Data ffc9
Addr: 0006db31, Data fffe
Addr: 0006db32, Data ffee
Addr: 0006db33, Data ffd0
Addr: 0006db34, Data ffd7
Addr: 0006db35, Data 009d
Addr: 0006db36, Data 0050
Addr: 0006db37, Data 009b
Addr: 0006db38, Data fff9
Addr: 0006db39, Data 0086
Addr: 0006db3a, Data 00a1
Addr: 0006db3b, Data ff53
Addr: 0006db3c, Data ffdd
Addr: 0006db3d, Data 0075
Addr: 0006db3e, Data fedc
Addr: 0006db3f, Data ffc7
Addr: 0006db40, Data 001a
Addr: 0006db41, Data 001b
Addr: 0006db42, Data ff3b
Addr: 0006db43, Data 001f
Addr: 0006db44, Data 003e
Addr: 0006db45, Data ffa0
Addr: 0006db46, Data ffe6
Addr: 0006db47, Data fff8
Addr: 0006db48, Data ff8a
Addr: 0006db49, Data ffc9
Addr: 0006db4a, Data ff8f
Addr: 0006db4b, Data fffb
Addr: 0006db4c, Data ff6f
Addr: 0006db4d, Data ffa2
Addr: 0006db4e, Data ff64
Addr: 0006db4f, Data ffc2
Addr: 0006db50, Data ffae
Addr: 0006db51, Data ff8b
Addr: 0006db52, Data ff8a
Addr: 0006db53, Data ffac
Addr: 0006db54, Data ff71
Addr: 0006db55, Data ff67
Addr: 0006db56, Data fede
Addr: 0006db57, Data ff49
Addr: 0006db58, Data ffd6
Addr: 0006db59, Data 0044
Addr: 0006db5a, Data ff3a
Addr: 0006db5b, Data ffd5
Addr: 0006db5c, Data ffcd
Addr: 0006db5d, Data ff94
Addr: 0006db5e, Data fffa
Addr: 0006db5f, Data ffba
Addr: 0006db60, Data ffda
Addr: 0006db61, Data feee
Addr: 0006db62, Data 0094
Addr: 0006db63, Data ff20
Addr: 0006db64, Data ffde
Addr: 0006db65, Data ffd8
Addr: 0006db66, Data 005c
Addr: 0006db67, Data ff19
Addr: 0006db68, Data 0066
Addr: 0006db69, Data fffe
Addr: 0006db6a, Data fef8
Addr: 0006db6b, Data ff7c
Addr: 0006db6c, Data 003e
Addr: 0006db6d, Data ffc7
Addr: 0006db6e, Data ffd7
Addr: 0006db6f, Data ffe6
Addr: 0006db70, Data fff6
Addr: 0006db71, Data 0003
Addr: 0006db72, Data ffe0
Addr: 0006db73, Data 000f
Addr: 0006db74, Data ffab
Addr: 0006db75, Data ffea
Addr: 0006db76, Data ff72
Addr: 0006db77, Data ffdc
Addr: 0006db78, Data ffaf
Addr: 0006db79, Data 007c
Addr: 0006db7a, Data fec1
Addr: 0006db7b, Data 0030
Addr: 0006db7c, Data 0077
Addr: 0006db7d, Data 00b9
Addr: 0006db7e, Data 0013
Addr: 0006db7f, Data 004f
Addr: 0006db80, Data 0096
Addr: 0006db81, Data 001b
Addr: 0006db82, Data 00ee
Addr: 0006db83, Data 009b
Addr: 0006db84, Data 0041
Addr: 0006db85, Data ff58
Addr: 0006db86, Data 00c8
Addr: 0006db87, Data ff7b
Addr: 0006db88, Data ff69
Addr: 0006db89, Data 0122
Addr: 0006db8a, Data ff58
Addr: 0006db8b, Data 0000
Addr: 0006db8c, Data 0059
Addr: 0006db8d, Data 01af
Addr: 0006db8e, Data fe7d
Addr: 0006db8f, Data 00bf
Addr: 0006db90, Data 00f6
Addr: 0006db91, Data 0163
Addr: 0006db92, Data ffa8
Addr: 0006db93, Data 0117
Addr: 0006db94, Data 0091
Addr: 0006db95, Data 0075
Addr: 0006db96, Data ffe1
Addr: 0006db97, Data 0058
Addr: 0006db98, Data ff6b
Addr: 0006db99, Data 0080
Addr: 0006db9a, Data 00d1
Addr: 0006db9b, Data ffc5
Addr: 0006db9c, Data ff4c
Addr: 0006db9d, Data 0010
Addr: 0006db9e, Data ff3a
Addr: 0006db9f, Data ff74
Addr: 0006dba0, Data ff8f
Addr: 0006dba1, Data fff2
Addr: 0006dba2, Data fec7
Addr: 0006dba3, Data 0052
Addr: 0006dba4, Data ff92
Addr: 0006dba5, Data ff19
Addr: 0006dba6, Data 0128
Addr: 0006dba7, Data 018a
Addr: 0006dba8, Data ffa8
Addr: 0006dba9, Data 0027
Addr: 0006dbaa, Data 0086
Addr: 0006dbab, Data 00ed
Addr: 0006dbac, Data ffcb
Addr: 0006dbad, Data ff7b
Addr: 0006dbae, Data ff71
Addr: 0006dbaf, Data ffa1
Addr: 0006dbb0, Data ffc6
